scenario,volume_inicial,year,energy_total,volume_final,status
Humedo,1800.0,1991,7744.158487997478,2027.066858101255,OK
Humedo,1800.0,1992,7990.66795346693,2166.031812682789,OK
Humedo,1800.0,1993,8453.885058554915,2596.848169178048,OK
Humedo,1800.0,1994,7626.592675912708,1997.8327397210946,OK
Humedo,1800.0,1995,7143.724676079813,1707.0125308341849,OK
Humedo,1800.0,1996,7604.753564323882,2037.8023832875365,OK
Humedo,1800.0,1997,8222.070527229449,2461.5728051194365,OK
Humedo,1800.0,1998,5576.212356817344,783.6384881681685,OK
Humedo,1800.0,1999,7031.288806682454,1668.0705774383941,OK
Humedo,1800.0,2000,8013.685705263585,2253.164069730481,OK
Humedo,1800.0,2001,7915.942858686368,2365.4461565761635,OK
Humedo,1800.0,2002,8116.569699108399,2509.3259926429982,OK
Humedo,1800.0,2003,7090.127101679415,1621.6489253783136,OK
Humedo,1800.0,2004,7187.3445336529,1610.919095840377,OK
Humedo,1800.0,2005,7961.940353135342,2240.755959922764,OK
Humedo,1800.0,2006,8009.312725261709,2433.0553233044084,OK
Humedo,1800.0,2007,6406.335421494664,1171.761450329655,OK
Humedo,1800.0,2008,7295.68588268876,1681.2388191015489,OK
Humedo,1800.0,2009,7628.993505876691,1935.6303858540837,OK
Humedo,1800.0,2010,6560.875014225106,1188.8688525015054,OK
Humedo,1800.0,2011,7111.563065947824,1642.890200003107,OK
Humedo,1800.0,2012,6720.538360136464,1187.0741937199007,OK
Humedo,1800.0,2013,6860.4501462036815,1484.430840283743,OK
Humedo,1800.0,2014,7270.623277892629,1746.685971392682,OK
Humedo,1800.0,2015,6940.550088211237,1588.587198481596,OK
Humedo,1800.0,2016,6645.5017000324,830.6032621013693,OK
Humedo,1800.0,2017,6999.067412923152,1580.277298099209,OK
Humedo,1800.0,2018,6909.316402345242,1513.1949651973987,OK
Humedo,1800.0,2019,6703.2141289435895,1342.583022952063,OK
Humedo,1800.0,2020,6360.7337913860465,1321.8072151430365,OK
Muy_Humedo,2200.0,1980,10020.235574228765,2181.9105772439657,OK
Muy_Humedo,2200.0,1981,9378.073487902073,1715.5891655013356,OK
Muy_Humedo,2200.0,1982,10072.293625821798,2494.3627988146322,OK
Muy_Humedo,2200.0,1983,8878.144380287318,1366.9698677690608,OK
Muy_Humedo,2200.0,1984,9312.853770017935,1907.9732355729072,OK
Muy_Humedo,2200.0,1985,9086.3294386001,1474.265018387497,OK
Muy_Humedo,2200.0,1986,9781.405158156836,2087.8565741930906,OK
Muy_Humedo,2200.0,1987,9403.265756721448,1708.6400884272268,OK
Muy_Humedo,2200.0,1988,8946.715219294141,1321.856950818006,OK
Muy_Humedo,2200.0,1989,8495.172732267312,1088.857664384086,OK
Muy_Humedo,2200.0,1990,8840.473788423347,1246.554399795935,OK
Muy_Humedo,2200.0,1991,9618.064755187768,1844.907108955666,OK
Muy_Humedo,2200.0,1992,9764.31598236573,1954.1210521525293,OK
Muy_Humedo,2200.0,1993,10136.055321758575,2388.311597150461,OK
Muy_Humedo,2200.0,1994,9476.532568706525,1809.6935419214876,OK
Muy_Humedo,2200.0,1995,8991.186048313348,1507.1453288202088,OK
Muy_Humedo,2200.0,1996,9355.976556524165,1829.3486196901154,OK
Muy_Humedo,2200.0,1997,9989.912627216712,2280.1745982967823,OK
Muy_Humedo,2200.0,1998,7490.69029854821,585.3907343291592,OK
Muy_Humedo,2200.0,1999,8916.624876665317,1461.1111771071812,OK
Muy_Humedo,2200.0,2000,9783.854082409885,2046.717372691562,OK
Muy_Humedo,2200.0,2001,9736.602327428292,2157.7784650540325,OK
Muy_Humedo,2200.0,2002,9903.263412846816,2273.9170826359323,OK
Muy_Humedo,2200.0,2003,8928.661723696354,1433.741042057487,OK
Muy_Humedo,2200.0,2004,9042.828714902334,1411.2049414356884,OK
Muy_Humedo,2200.0,2005,9758.586253954243,2057.266863979245,OK
Muy_Humedo,2200.0,2006,9829.911667604945,2222.2753165719796,OK
Muy_Humedo,2200.0,2007,8300.38151880817,972.5716768524553,OK
Muy_Humedo,2200.0,2008,9167.483632845797,1494.45233722137,OK
Muy_Humedo,2200.0,2009,9417.576648979506,1735.629353560612,OK
Muy_Humedo,2200.0,2010,8435.783752506939,997.4571900177901,OK
Muy_Humedo,2200.0,2011,8973.060416195418,1456.603034044664,OK
Muy_Humedo,2200.0,2012,8540.732917938738,1000.4852488638502,OK
Muy_Humedo,2200.0,2013,8742.822644116415,1294.430990161992,OK
Muy_Humedo,2200.0,2014,9106.41619016983,1528.7237872752457,OK
Muy_Humedo,2200.0,2015,8799.452388751643,1405.1515371673936,OK
Muy_Humedo,2200.0,2016,8487.445862438144,630.4697064443133,OK
Muy_Humedo,2200.0,2017,8784.804493187614,1410.8429300292312,OK
Muy_Humedo,2200.0,2018,8696.749689575292,1306.3821595603476,OK
Muy_Humedo,2200.0,2019,8584.605755102039,1185.5186886729612,OK
Muy_Humedo,2200.0,2020,8183.421047522488,1147.2188432186053,OK
