central,fecha (mm-aaaa),caudal (m^3/s)
canecol,04-1975,8.796852217824688
canecol,05-1975,20.236504237871365
canecol,06-1975,33.56752826423707
canecol,07-1975,34.937641644485964
canecol,08-1975,18.20204862998498
canecol,09-1975,16.03894599382876
canecol,10-1975,17.642777718041675
canecol,11-1975,18.01596930475121
canecol,12-1975,11.320877370473843
canecol,01-1976,5.002090116261901
canecol,02-1976,3.624282168851088
canecol,03-1976,3.365206915180549
canecol,04-1976,3.175854868298411
canecol,05-1976,3.7123450611477082
canecol,06-1976,22.686164549111716
canecol,07-1976,12.368593391395475
canecol,08-1976,12.050778813348995
canecol,09-1976,14.0986170126827
canecol,10-1976,25.13128569326447
canecol,11-1976,15.017455687700751
canecol,12-1976,8.990139975914143
canecol,01-1977,5.738381210997888
canecol,02-1977,3.6428447285560948
canecol,03-1977,3.1221757604187212
canecol,04-1977,5.656086501999347
canecol,05-1977,20.30110153786581
canecol,06-1977,22.51480384155873
canecol,07-1977,42.586995955373155
canecol,08-1977,25.883826727764486
canecol,09-1977,23.30487158600303
canecol,10-1977,24.282796696175485
canecol,11-1977,22.937619093477362
canecol,12-1977,14.95025773577118
canecol,01-1978,3.586459221215325
canecol,02-1978,3.0671569181760465
canecol,03-1978,2.536795619886787
canecol,04-1978,4.175641583927924
canecol,05-1978,9.997848038498777
canecol,06-1978,18.985686690594417
canecol,07-1978,59.26774395040714
canecol,08-1978,17.19374208359527
canecol,09-1978,27.830633425120084
canecol,10-1978,30.67994701355749
canecol,11-1978,22.199865098329756
canecol,12-1978,6.173213989135059
canecol,01-1979,5.067708528510252
canecol,02-1979,6.833278076482042
canecol,03-1979,7.570737632107368
canecol,04-1979,2.780600483419887
canecol,05-1979,10.090963813416106
canecol,06-1979,9.32178125926409
canecol,07-1979,18.925161322617615
canecol,08-1979,64.38877639809141
canecol,09-1979,30.135471382996474
canecol,10-1979,16.82422293811835
canecol,11-1979,18.461201868174697
canecol,12-1979,16.91886138107924
canecol,01-1980,6.76863757848489
canecol,02-1980,5.60205492126693
canecol,03-1980,3.7388487021502486
canecol,04-1980,24.38552682905715
canecol,05-1980,53.744139616167104
canecol,06-1980,55.95956182364612
canecol,07-1980,37.9423775122704
canecol,08-1980,26.599327294744665
canecol,09-1980,13.291030286757879
canecol,10-1980,11.622340321640696
canecol,11-1980,10.007629260908658
canecol,12-1980,7.14596086551995
canecol,01-1981,3.7472233727419644
canecol,02-1981,3.738180509771837
canecol,03-1981,3.4562003659683547
canecol,04-1981,7.092983528555758
canecol,05-1981,60.28152425152929
canecol,06-1981,32.074210015388836
canecol,07-1981,30.61166457868441
canecol,08-1981,21.813754440684765
canecol,09-1981,17.792802690632374
canecol,10-1981,12.542181854794269
canecol,11-1981,8.838170147643538
canecol,12-1981,5.164622153792328
canecol,01-1982,7.310235106061104
canecol,02-1982,4.437730171664136
canecol,03-1982,4.355193850627544
canecol,04-1982,3.592996761992839
canecol,05-1982,19.414475043725282
canecol,06-1982,40.58874166120009
canecol,07-1982,54.2871820152805
canecol,08-1982,23.430527099056
canecol,09-1982,31.754749465582623
canecol,10-1982,35.07598433320887
canecol,11-1982,20.811901753146827
canecol,12-1982,14.215729465256189
canecol,01-1983,3.609692639218757
canecol,02-1983,3.091865270260445
canecol,03-1983,3.053934101359119
canecol,04-1983,6.538928177652529
canecol,05-1983,8.976608919043944
canecol,06-1983,39.22292024051643
canecol,07-1983,26.298262746139372
canecol,08-1983,16.255446484484036
canecol,09-1983,14.499107227321979
canecol,10-1983,14.961503976912393
canecol,11-1983,11.618137808824427
canecol,12-1983,5.895681398648544
canecol,01-1984,7.240784784397336
canecol,02-1984,4.533687719468318
canecol,03-1984,4.1253942212082615
canecol,04-1984,4.248516929267465
canecol,05-1984,16.532757505209542
canecol,06-1984,19.152763794589333
canecol,07-1984,41.695198813943506
canecol,08-1984,13.88422299070745
canecol,09-1984,20.267537922824975
canecol,10-1984,26.530393514254108
canecol,11-1984,26.80224756972506
canecol,12-1984,12.588786175223479
canecol,01-1985,2.72
canecol,02-1985,2.3
canecol,03-1985,2.1600000000000006
canecol,04-1985,10.9
canecol,05-1985,31.499999999999996
canecol,06-1985,22.200000000000003
canecol,07-1985,37.4
canecol,08-1985,10.600000000000001
canecol,09-1985,18.9
canecol,10-1985,19.6
canecol,11-1985,13.800000000000004
canecol,12-1985,4.61
canecol,01-1986,3.7700000000000005
canecol,02-1986,3.7
canecol,03-1986,3.21
canecol,04-1986,7.33
canecol,05-1986,41.199999999999996
canecol,06-1986,57.39999999999999
canecol,07-1986,15.699999999999998
canecol,08-1986,27.599999999999994
canecol,09-1986,16.800000000000004
canecol,10-1986,13.999999999999998
canecol,11-1986,24.199999999999996
canecol,12-1986,12.999999999999996
canecol,01-1987,3.17
canecol,02-1987,1.8
canecol,03-1987,2.51
canecol,04-1987,1.95
canecol,05-1987,4.4750000000000005
canecol,06-1987,20.199999999999996
canecol,07-1987,30.100000000000005
canecol,08-1987,28.1
canecol,09-1987,18.199999999999996
canecol,10-1987,24.199999999999996
canecol,11-1987,15.099999999999998
canecol,12-1987,5.249999999999999
canecol,01-1988,3.49
canecol,02-1988,2.63
canecol,03-1988,1.9999999999999998
canecol,04-1988,3.5399999999999996
canecol,05-1988,5.89
canecol,06-1988,20.099999999999998
canecol,07-1988,19.0
canecol,08-1988,15.0
canecol,09-1988,14.4
canecol,10-1988,16.8
canecol,11-1988,14.799999999999999
canecol,12-1988,7.08
canecol,01-1989,1.57
canecol,02-1989,1.75
canecol,03-1989,2.74
canecol,04-1989,1.2099999999999997
canecol,05-1989,1.1400000000000001
canecol,06-1989,21.4
canecol,07-1989,13.699999999999998
canecol,08-1989,20.6
canecol,09-1989,12.899999999999999
canecol,10-1989,10.399999999999999
canecol,11-1989,6.630000000000001
canecol,12-1989,6.41
canecol,01-1990,2.0100000000000002
canecol,02-1990,1.1499999999999997
canecol,03-1990,0.7660000000000001
canecol,04-1990,7.640000000000001
canecol,05-1990,15.799999999999997
canecol,06-1990,19.799999999999997
canecol,07-1990,10.200000000000001
canecol,08-1990,24.3
canecol,09-1990,38.1
canecol,10-1990,13.3
canecol,11-1990,6.32
canecol,12-1990,2.6900000000000004
canecol,01-1991,6.68
canecol,02-1991,11.399999999999999
canecol,03-1991,10.899999999999999
canecol,04-1991,6.76
canecol,05-1991,52.5
canecol,06-1991,24.200000000000003
canecol,07-1991,39.3
canecol,08-1991,13.3
canecol,09-1991,23.3
canecol,10-1991,14.400000000000002
canecol,11-1991,8.71
canecol,12-1991,16.1
canecol,01-1992,4.16
canecol,02-1992,1.9400000000000002
canecol,03-1992,3.08
canecol,04-1992,20.199999999999996
canecol,05-1992,62.00000000000001
canecol,06-1992,41.70000000000001
canecol,07-1992,23.0
canecol,08-1992,9.86
canecol,09-1992,15.700000000000001
canecol,10-1992,20.5
canecol,11-1992,16.6
canecol,12-1992,8.76
canecol,01-1993,5.18
canecol,02-1993,3.3499999999999996
canecol,03-1993,1.29
canecol,04-1993,13.999999999999996
canecol,05-1993,30.8
canecol,06-1993,63.0
canecol,07-1993,40.0
canecol,08-1993,36.2
canecol,09-1993,18.9
canecol,10-1993,15.0
canecol,11-1993,12.300000000000004
canecol,12-1993,12.4
canecol,01-1994,2.9099999999999997
canecol,02-1994,1.83
canecol,03-1994,1.47
canecol,04-1994,7.58
canecol,05-1994,11.999999999999998
canecol,06-1994,35.60000000000001
canecol,07-1994,51.9
canecol,08-1994,12.700000000000003
canecol,09-1994,28.199999999999996
canecol,10-1994,20.600000000000005
canecol,11-1994,10.5
canecol,12-1994,9.39
canecol,01-1995,6.124786680780867
canecol,02-1995,4.949997351293552
canecol,03-1995,5.671883642236276
canecol,04-1995,5.6689547401755
canecol,05-1995,6.532431430776974
canecol,06-1995,36.334586250226785
canecol,07-1995,24.082512928516334
canecol,08-1995,14.570676162176444
canecol,09-1995,15.867855667636283
canecol,10-1995,27.89307361589533
canecol,11-1995,15.193845785734315
canecol,12-1995,8.50453024635091
canecol,01-1996,5.58954335357277
canecol,02-1996,4.631983516310532
canecol,03-1996,4.325005699821885
canecol,04-1996,6.080603186977726
canecol,05-1996,6.01903338323155
canecol,06-1996,15.764113861962521
canecol,07-1996,38.91187390682721
canecol,08-1996,20.698405003437
canecol,09-1996,41.13155142099909
canecol,10-1996,33.403799128234624
canecol,11-1996,19.978944060935387
canecol,12-1996,11.07344059550147
canecol,01-1997,3.1900000000000004
canecol,02-1997,1.74
canecol,03-1997,1.2200000000000002
canecol,04-1997,17.6
canecol,05-1997,19.2
canecol,06-1997,51.39999999999999
canecol,07-1997,27.6
canecol,08-1997,26.4
canecol,09-1997,27.6
canecol,10-1997,23.0
canecol,11-1997,17.5
canecol,12-1997,7.06
canecol,01-1998,1.1299999999999997
canecol,02-1998,0.89
canecol,03-1998,0.8899999999999999
canecol,04-1998,1.9500000000000002
canecol,05-1998,3.71
canecol,06-1998,5.16
canecol,07-1998,8.82
canecol,08-1998,10.719999999999999
canecol,09-1998,7.0
canecol,10-1998,6.21
canecol,11-1998,2.77
canecol,12-1998,1.8900000000000001
canecol,01-1999,2.7375
canecol,02-1999,2.5532738095238097
canecol,03-1999,2.2521102150537633
canecol,04-1999,2.38
canecol,05-1999,3.8700000000000006
canecol,06-1999,26.6
canecol,07-1999,12.3
canecol,08-1999,25.699999999999996
canecol,09-1999,36.4
canecol,10-1999,13.899999999999999
canecol,11-1999,3.76
canecol,12-1999,2.64
canecol,01-2000,5.186364539504443
canecol,02-2000,3.425520833333333
canecol,03-2000,1.7581854838709676
canecol,04-2000,1.5199861111111113
canecol,05-2000,4.070282258064516
canecol,06-2000,17.625297222222223
canecol,07-2000,19.390295698924735
canecol,08-2000,38.19514784946236
canecol,09-2000,35.35398611111111
canecol,10-2000,19.57
canecol,11-2000,11.48394329710145
canecol,12-2000,6.4080486792893865
canecol,01-2001,0.8753268817204303
canecol,02-2001,2.4564732142857144
canecol,03-2001,13.225012365591397
canecol,04-2001,1.8947499999999997
canecol,05-2001,44.509677419354844
canecol,06-2001,35.77047222222223
canecol,07-2001,71.4925
canecol,08-2001,31.31073924731183
canecol,09-2001,17.172194444444443
canecol,10-2001,10.868842917251051
canecol,11-2001,9.900097222222222
canecol,12-2001,4.371895161290323
canecol,01-2002,9.022903225806452
canecol,02-2002,3.2628720238095243
canecol,03-2002,1.1325000000000003
canecol,04-2002,7.276347222222222
canecol,05-2002,18.437303763440863
canecol,06-2002,30.789041666666662
canecol,07-2002,23.111169354838704
canecol,08-2002,61.62737903225806
canecol,09-2002,28.24
canecol,10-2002,55.52521505376344
canecol,11-2002,29.120000000000005
canecol,12-2002,19.286142473118282
canecol,01-2003,1.6541706989247313
canecol,02-2003,0.24258266129032258
canecol,03-2003,0.6844610361150067
canecol,04-2003,0.9446944444444445
canecol,05-2003,1.5346572580645164
canecol,06-2003,63.621069444444444
canecol,07-2003,27.067741935483873
canecol,08-2003,13.796212365591398
canecol,09-2003,16.110200000000003
canecol,10-2003,14.850489247311831
canecol,11-2003,10.499772401433692
canecol,12-2003,6.2967419354838725
canecol,01-2004,1.4683666432912574
canecol,02-2004,0.2310863095238095
canecol,03-2004,0.04999999999999995
canecol,04-2004,20.692332371794873
canecol,05-2004,5.323104838709677
canecol,06-2004,32.33168405797101
canecol,07-2004,30.524816756272408
canecol,08-2004,14.388774193548386
canecol,09-2004,20.720298850574714
canecol,10-2004,18.814319074333802
canecol,11-2004,17.10173275862069
canecol,12-2004,4.9751829125759715
canecol,01-2005,3.4459595410628014
canecol,02-2005,0.8769985766045548
canecol,03-2005,0.51
canecol,04-2005,1.4139333333333335
canecol,05-2005,10.13455917874396
canecol,06-2005,49.819640096618365
canecol,07-2005,39.2554610799439
canecol,08-2005,47.526899193548395
canecol,09-2005,18.257444444444445
canecol,10-2005,9.88455917874396
canecol,11-2005,17.439972826086958
canecol,12-2005,14.59368055555556
canecol,01-2006,4.453553140096619
canecol,02-2006,0.8688541666666667
canecol,03-2006,0.49999999999999994
canecol,04-2006,3.5807770531400958
canecol,05-2006,8.396442964001869
canecol,06-2006,53.94323888888888
canecol,07-2006,51.572688172043016
canecol,08-2006,27.629032258064512
canecol,09-2006,27.93066666666666
canecol,10-2006,19.037741935483872
canecol,11-2006,16.79756944444444
canecol,12-2006,15.409616935483866
canecol,01-2007,1.032438639551192
canecol,02-2007,0.5
canecol,03-2007,0.691748989544817
canecol,04-2007,1.8196111111111106
canecol,05-2007,2.07258064516129
canecol,06-2007,3.7559196859903374
canecol,07-2007,36.325468189964155
canecol,08-2007,10.253314749883122
canecol,09-2007,13.590708333333335
canecol,10-2007,13.38774193548387
canecol,11-2007,11.424197222222226
canecol,12-2007,6.353763440860215
canecol,01-2008,1.6680645161290326
canecol,02-2008,1.6680645161290322
canecol,03-2008,1.2109090909090914
canecol,04-2008,2.2873333333333337
canecol,05-2008,71.21193548387097
canecol,06-2008,23.030333333333328
canecol,07-2008,27.310967741935485
canecol,08-2008,56.920967741935485
canecol,09-2008,31.840666666666664
canecol,10-2008,11.802258064516128
canecol,11-2008,8.12833333333333
canecol,12-2008,3.712258064516129
canecol,01-2009,4.469032258064516
canecol,02-2009,2.8675
canecol,03-2009,0.5
canecol,04-2009,7.0293333333333345
canecol,05-2009,44.1409677419355
canecol,06-2009,24.084333333333337
canecol,07-2009,33.251612903225805
canecol,08-2009,35.033225806451604
canecol,09-2009,22.265333333333334
canecol,10-2009,23.124193548387098
canecol,11-2009,27.624000000000002
canecol,12-2009,10.402258064516129
canecol,01-2010,3.8954838709677406
canecol,02-2010,2.8132142857142854
canecol,03-2010,2.352258064516129
canecol,04-2010,2.5566666666666666
canecol,05-2010,2.434193548387096
canecol,06-2010,20.944666666666663
canecol,07-2010,24.56935483870968
canecol,08-2010,19.04064516129032
canecol,09-2010,16.361666666666668
canecol,10-2010,15.850645161290323
canecol,11-2010,14.635333333333335
canecol,12-2010,8.46225806451613
canecol,01-2011,3.1238709677419365
canecol,02-2011,3.5034482758620684
canecol,03-2011,3.2909677419354844
canecol,04-2011,7.740666666666667
canecol,05-2011,4.665161290322581
canecol,06-2011,22.067666666666664
canecol,07-2011,26.0258064516129
canecol,08-2011,56.83838709677418
canecol,09-2011,31.738666666666667
canecol,10-2011,22.597419354838713
canecol,11-2011,14.951333333333334
canecol,12-2011,5.97741935483871
canecol,01-2012,4.495161290322581
canecol,02-2012,2.6653571428571436
canecol,03-2012,1.2483870967741937
canecol,04-2012,2.076
canecol,05-2012,20.912903225806456
canecol,06-2012,47.080999999999996
canecol,07-2012,22.00290322580645
canecol,08-2012,10.793225806451614
canecol,09-2012,8.413333333333332
canecol,10-2012,7.880645161290322
canecol,11-2012,4.725
canecol,12-2012,16.520322580645164
canecol,01-2013,2.218387096774194
canecol,02-2013,1.7085714285714286
canecol,03-2013,1.3793548387096763
canecol,04-2013,0.903
canecol,05-2013,7.215483870967741
canecol,06-2013,26.036333333333335
canecol,07-2013,43.88677419354839
canecol,08-2013,36.774516129032264
canecol,09-2013,44.633666666666684
canecol,10-2013,17.610967741935482
canecol,11-2013,9.453000000000001
canecol,12-2013,4.156129032258065
canecol,01-2014,2.5835483870967746
canecol,02-2014,1.5582142857142853
canecol,03-2014,0.8277419354838709
canecol,04-2014,1.055
canecol,05-2014,17.56612903225806
canecol,06-2014,46.09733333333334
canecol,07-2014,43.8258064516129
canecol,08-2014,56.28193548387096
canecol,09-2014,35.44633333333333
canecol,10-2014,19.0841935483871
canecol,11-2014,8.732
canecol,12-2014,5.316451612903225
canecol,01-2015,2.655913978494623
canecol,02-2015,1.5663793103448282
canecol,03-2015,1.1390322580645165
canecol,04-2015,0.8790000000000006
canecol,05-2015,1.0025806451612902
canecol,06-2015,35.71487500000001
canecol,07-2015,23.30717741935484
canecol,08-2015,53.902903225806455
canecol,09-2015,24.115152777777766
canecol,10-2015,24.119677419354836
canecol,11-2015,12.385000000000002
canecol,12-2015,4.9309811827956995
canecol,01-2016,1.9048387096774198
canecol,02-2016,1.5317857142857143
canecol,03-2016,1.4777419354838701
canecol,04-2016,2.1026666666666665
canecol,05-2016,2.8006451612903227
canecol,06-2016,2.766000000000001
canecol,07-2016,7.554838709677419
canecol,08-2016,12.663548387096775
canecol,09-2016,9.497000000000002
canecol,10-2016,9.23741935483871
canecol,11-2016,5.077000000000001
canecol,12-2016,3.7564516129032275
canecol,01-2017,6.158387096774194
canecol,02-2017,1.7514285714285711
canecol,03-2017,1.4096774193548383
canecol,04-2017,1.230666666666667
canecol,05-2017,8.176774193548386
canecol,06-2017,17.159333333333333
canecol,07-2017,23.488709677419358
canecol,08-2017,22.985483870967744
canecol,09-2017,23.245000000000005
canecol,10-2017,24.503225806451614
canecol,11-2017,22.640333333333334
canecol,12-2017,16.093225806451617
canecol,01-2018,4.631612903225805
canecol,02-2018,2.642857142857142
canecol,03-2018,1.7132258064516128
canecol,04-2018,5.361666666666666
canecol,05-2018,7.44483870967742
canecol,06-2018,12.570666666666666
canecol,07-2018,12.951612903225804
canecol,08-2018,10.105161290322581
canecol,09-2018,11.205999999999996
canecol,10-2018,13.236774193548388
canecol,11-2018,12.795333333333332
canecol,12-2018,6.814838709677419
canecol,01-2019,2.2570967741935486
canecol,02-2019,1.4551724137931035
canecol,03-2019,0.994193548387097
canecol,04-2019,1.018
canecol,05-2019,6.60741935483871
canecol,06-2019,11.567333333333334
canecol,07-2019,14.633225806451614
canecol,08-2019,14.449032258064516
canecol,09-2019,12.231000000000002
canecol,10-2019,12.272903225806452
canecol,11-2019,9.913333333333332
canecol,12-2019,4.325161290322582
canecol,01-2020,2.7799617857142858
canecol,02-2020,2.1234342857142856
canecol,03-2020,1.2273867857142857
canecol,04-2020,4.031075892857142
canecol,05-2020,5.876517857142858
canecol,06-2020,24.669361607142857
canecol,07-2020,44.05098214285714
canecol,08-2020,14.824767857142858
canecol,09-2020,11.534022321428571
canecol,10-2020,16.218425
canecol,11-2020,14.988971339285717
canecol,12-2020,7.633417410714286
canecol,01-2021,1.4687539250000001
canecol,02-2021,1.0194225285714285
canecol,03-2021,0.8555155178571429
canecol,04-2021,2.121518025
canecol,05-2021,4.32465865
canecol,06-2021,20.68325325
canecol,07-2021,9.8314765
canecol,08-2021,18.0246262
canecol,09-2021,20.1027107
canecol,10-2021,11.064721028571428
canecol,11-2021,6.763657885714286
canecol,12-2021,2.7752917714285714
canecol,01-2022,2.0826162491071427
canecol,02-2022,1.3242299928571428
canecol,03-2022,0.9937619401785714
canecol,04-2022,8.594563725
canecol,05-2022,13.243430475
canecol,06-2022,17.661025799999997
canecol,07-2022,30.280604
canecol,08-2022,29.8331896
canecol,09-2022,22.1810206
canecol,10-2022,16.99608805714286
canecol,11-2022,13.522784057142857
canecol,12-2022,6.252247371428572
canecol,01-2023,12.37138392857143
canecol,02-2023,8.185401785714285
canecol,03-2023,5.971473214285714
canecol,04-2023,1.9609375
canecol,05-2023,4.711026785714285
canecol,06-2023,27.4703125
canecol,07-2023,27.507008928571427
canecol,08-2023,63.85084821428571
canecol,09-2023,64.82611607142857
canecol,10-2023,29.207098214285715
canecol,11-2023,33.027455357142856
canecol,12-2023,23.691026785714286
eltoro,01-1960,29.197970254992697
eltoro,02-1960,21.105018453579298
eltoro,03-1960,25.138598211557902
eltoro,04-1960,24.9964106686985
eltoro,05-1960,24.1921754730287
eltoro,06-1960,112.91231570568195
eltoro,07-1960,92.4533349288166
eltoro,08-1960,61.16028719742929
eltoro,09-1960,92.41321322045539
eltoro,10-1960,108.62338214768658
eltoro,11-1960,136.748013325203
eltoro,12-1960,76.98482773252417
eltoro,01-1961,14.3190252969994
eltoro,02-1961,13.147651504762901
eltoro,03-1961,12.32189744810579
eltoro,04-1961,30.269859732303004
eltoro,05-1961,25.1457327352759
eltoro,06-1961,61.39848865565849
eltoro,07-1961,34.992915647500595
eltoro,08-1961,46.15249932438441
eltoro,09-1961,48.992600851356904
eltoro,10-1961,51.802386734591806
eltoro,11-1961,40.946626160265595
eltoro,12-1961,21.069372265723203
eltoro,01-1962,20.15
eltoro,02-1962,23.090000000000003
eltoro,03-1962,18.03
eltoro,04-1962,11.45
eltoro,05-1962,20.939999999999998
eltoro,06-1962,38.94
eltoro,07-1962,26.459999999999997
eltoro,08-1962,61.000000000000014
eltoro,09-1962,52.989999999999995
eltoro,10-1962,62.59
eltoro,11-1962,54.08
eltoro,12-1962,22.6
eltoro,01-1963,65.32
eltoro,02-1963,19.81
eltoro,03-1963,35.54
eltoro,04-1963,22.02
eltoro,05-1963,25.61
eltoro,06-1963,43.629999999999995
eltoro,07-1963,56.16
eltoro,08-1963,60.459999999999994
eltoro,09-1963,64.79
eltoro,10-1963,114.52855732831236
eltoro,11-1963,159.78689904859522
eltoro,12-1963,139.6
eltoro,01-1964,38.09
eltoro,02-1964,28.580000000000002
eltoro,03-1964,20.14
eltoro,04-1964,14.75
eltoro,05-1964,21.990000000000002
eltoro,06-1964,27.2
eltoro,07-1964,27.58
eltoro,08-1964,28.78
eltoro,09-1964,46.33000000000001
eltoro,10-1964,88.53000000000002
eltoro,11-1964,96.42
eltoro,12-1964,75.14
eltoro,01-1965,58.230000000000004
eltoro,02-1965,33.080000000000005
eltoro,03-1965,23.21
eltoro,04-1965,49.48000000000001
eltoro,05-1965,78.26086261653519
eltoro,06-1965,139.64522261964052
eltoro,07-1965,89.97
eltoro,08-1965,89.53874782608695
eltoro,09-1965,47.37
eltoro,10-1965,102.40999999999998
eltoro,11-1965,168.55369315601135
eltoro,12-1965,145.9302073795592
eltoro,01-1966,88.31
eltoro,02-1966,48.529999999999994
eltoro,03-1966,29.329999999999995
eltoro,04-1966,29.05
eltoro,05-1966,43.830000000000005
eltoro,06-1966,58.55
eltoro,07-1966,95.79817883420228
eltoro,08-1966,53.00999999999999
eltoro,09-1966,50.739999999999995
eltoro,10-1966,96.01
eltoro,11-1966,140.70000000000005
eltoro,12-1966,148.43944751381215
eltoro,01-1967,35.519999999999996
eltoro,02-1967,28.09
eltoro,03-1967,26.070000000000004
eltoro,04-1967,27.68
eltoro,05-1967,44.47
eltoro,06-1967,34.739999999999995
eltoro,07-1967,32.7
eltoro,08-1967,51.8
eltoro,09-1967,51.42
eltoro,10-1967,120.35000000000002
eltoro,11-1967,130.17000000000002
eltoro,12-1967,80.74999999999999
eltoro,01-1968,30.070000000000007
eltoro,02-1968,21.939999999999998
eltoro,03-1968,19.92
eltoro,04-1968,24.94
eltoro,05-1968,26.79
eltoro,06-1968,23.34
eltoro,07-1968,24.94
eltoro,08-1968,36.86
eltoro,09-1968,40.69
eltoro,10-1968,46.050000000000004
eltoro,11-1968,53.06999999999999
eltoro,12-1968,42.60999999999999
eltoro,01-1969,39.97
eltoro,02-1969,32.72
eltoro,03-1969,26.200000000000003
eltoro,04-1969,29.990000000000006
eltoro,05-1969,61.739999999999995
eltoro,06-1969,145.33736567992952
eltoro,07-1969,80.19999999999999
eltoro,08-1969,81.73
eltoro,09-1969,82.36
eltoro,10-1969,85.92999999999999
eltoro,11-1969,128.42616050413787
eltoro,12-1969,97.36542908948167
eltoro,01-1970,50.76
eltoro,02-1970,37.24
eltoro,03-1970,27.450000000000003
eltoro,04-1970,23.949999999999996
eltoro,05-1970,29.630000000000003
eltoro,06-1970,55.330000000000005
eltoro,07-1970,44.230000000000004
eltoro,08-1970,39.13
eltoro,09-1970,44.620000000000005
eltoro,10-1970,91.99000000000001
eltoro,11-1970,128.20839742517975
eltoro,12-1970,105.42492257538711
eltoro,01-1971,43.559999999999995
eltoro,02-1971,13.330000000000002
eltoro,03-1971,25.880000000000003
eltoro,04-1971,21.92
eltoro,05-1971,76.17574076135678
eltoro,06-1971,50.7
eltoro,07-1971,97.08056650472088
eltoro,08-1971,87.3152586902399
eltoro,09-1971,65.15
eltoro,10-1971,105.04091059137914
eltoro,11-1971,123.66933226303034
eltoro,12-1971,77.56
eltoro,01-1972,59.209999999999994
eltoro,02-1972,35.830000000000005
eltoro,03-1972,25.57
eltoro,04-1972,20.61
eltoro,05-1972,182.84075700698844
eltoro,06-1972,158.06379869063105
eltoro,07-1972,77.67
eltoro,08-1972,138.12768161331294
eltoro,09-1972,93.76
eltoro,10-1972,106.47366703133127
eltoro,11-1972,150.9
eltoro,12-1972,118.90000000000003
eltoro,01-1973,36.010000000000005
eltoro,02-1973,23.79
eltoro,03-1973,20.070000000000004
eltoro,04-1973,20.5
eltoro,05-1973,59.94568801716213
eltoro,06-1973,65.88000000000001
eltoro,07-1973,61.3
eltoro,08-1973,43.83
eltoro,09-1973,44.769999999999996
eltoro,10-1973,79.51
eltoro,11-1973,97.52000000000001
eltoro,12-1973,56.230000000000004
eltoro,01-1974,34.730000000000004
eltoro,02-1974,32.849999999999994
eltoro,03-1974,24.89
eltoro,04-1974,17.82
eltoro,05-1974,35.67999999999999
eltoro,06-1974,61.32
eltoro,07-1974,40.75
eltoro,08-1974,42.77
eltoro,09-1974,45.71000000000001
eltoro,10-1974,105.24800428840774
eltoro,11-1974,129.25570108825983
eltoro,12-1974,75.47
eltoro,01-1975,54.59000000000001
eltoro,02-1975,32.66000000000001
eltoro,03-1975,24.799999999999997
eltoro,04-1975,35.53
eltoro,05-1975,74.87349989694324
eltoro,06-1975,86.79
eltoro,07-1975,79.48000000000002
eltoro,08-1975,45.42999999999999
eltoro,09-1975,55.18000000000001
eltoro,10-1975,105.75
eltoro,11-1975,158.40000000000003
eltoro,12-1975,116.53617377033457
eltoro,01-1976,42.03
eltoro,02-1976,26.46
eltoro,03-1976,26.93
eltoro,04-1976,23.41
eltoro,05-1976,30.16
eltoro,06-1976,65.50999999999999
eltoro,07-1976,49.02
eltoro,08-1976,44.72
eltoro,09-1976,68.83
eltoro,10-1976,96.22
eltoro,11-1976,117.92574291459707
eltoro,12-1976,75.57000000000001
eltoro,01-1977,54.32000000000001
eltoro,02-1977,29.13
eltoro,03-1977,28.820000000000007
eltoro,04-1977,19.49
eltoro,05-1977,61.97
eltoro,06-1977,68.05000000000001
eltoro,07-1977,71.32000000000001
eltoro,08-1977,46.8
eltoro,09-1977,82.17435576937767
eltoro,10-1977,140.5546784992112
eltoro,11-1977,185.5
eltoro,12-1977,136.01223473194997
eltoro,01-1978,36.849999999999994
eltoro,02-1978,26.250000000000004
eltoro,03-1978,25.77
eltoro,04-1978,22.259999999999998
eltoro,05-1978,50.669999999999995
eltoro,06-1978,62.56
eltoro,07-1978,146.91419731331465
eltoro,08-1978,67.34000000000002
eltoro,09-1978,93.74000000000001
eltoro,10-1978,139.61895582957112
eltoro,11-1978,135.7
eltoro,12-1978,80.294265173888
eltoro,01-1979,44.989999999999995
eltoro,02-1979,56.67
eltoro,03-1979,45.59
eltoro,04-1979,23.12
eltoro,05-1979,40.879999999999995
eltoro,06-1979,34.989999999999995
eltoro,07-1979,84.8176436828486
eltoro,08-1979,140.47592653863185
eltoro,09-1979,103.29000000000002
eltoro,10-1979,93.58000000000001
eltoro,11-1979,118.71088236213663
eltoro,12-1979,104.5388693100478
eltoro,01-1980,37.239999999999995
eltoro,02-1980,22.969999999999995
eltoro,03-1980,24.839999999999996
eltoro,04-1980,90.69389368703668
eltoro,05-1980,162.8485630252006
eltoro,06-1980,162.0133366429037
eltoro,07-1980,109.1
eltoro,08-1980,73.71000000000001
eltoro,09-1980,66.66
eltoro,10-1980,85.38
eltoro,11-1980,83.42999999999999
eltoro,12-1980,59.629999999999995
eltoro,01-1981,25.276399772
eltoro,02-1981,21.408487731999998
eltoro,03-1981,20.238791433
eltoro,04-1981,25.266508345
eltoro,05-1981,180.41345754401817
eltoro,06-1981,103.3949089942138
eltoro,07-1981,77.47810220900001
eltoro,08-1981,71.52717188100002
eltoro,09-1981,63.95552900900002
eltoro,10-1981,80.04133537400001
eltoro,11-1981,72.232884923
