central,fecha (mm-aaaa),caudal (m^3/s)
abanico,11-2000,7.577908333333341
abanico,12-2000,7.09005016129032
abanico,01-2001,4.71988125
abanico,02-2001,4.0943012
abanico,03-2001,4.32465425
abanico,04-2001,9.516
abanico,05-2001,4.474776225000001
abanico,06-2001,6.10397165
abanico,07-2001,10.924146875
abanico,08-2001,6.514180075
abanico,09-2001,6.1804421
abanico,10-2001,6.812428624999999
abanico,11-2001,5.602496575
abanico,12-2001,5.1377673249999996
abanico,01-2002,7.314502950000006
abanico,02-2002,5.344637250000062
abanico,03-2002,4.105302099999989
abanico,04-2002,2.7030546000000584
abanico,05-2002,2.8423407000000265
abanico,06-2002,3.601101699999998
abanico,07-2002,3.9304006499999247
abanico,08-2002,6.149902799999978
abanico,09-2002,5.31808675000001
abanico,10-2002,8.059099500000052
abanico,11-2002,8.726548750000013
abanico,12-2002,9.431987549999912
abanico,01-2003,2.6800000000000006
abanico,02-2003,4.389999999999999
abanico,03-2003,3.28
abanico,04-2003,2.61
abanico,05-2003,2.9300000000000006
abanico,06-2003,2.67
abanico,07-2003,3.5
abanico,08-2003,4.18
abanico,09-2003,3.62
abanico,10-2003,2.66
abanico,11-2003,2.4000000000000004
abanico,12-2003,1.09
abanico,01-2004,5.24
abanico,02-2004,4.49
abanico,03-2004,3.07
abanico,04-2004,3.9799999999999995
abanico,05-2004,3.2000000000000006
abanico,06-2004,4.940000000000001
abanico,07-2004,4.779999999999999
abanico,08-2004,4.18
abanico,09-2004,4.72
abanico,10-2004,5.6
abanico,11-2004,7.0
abanico,12-2004,5.5
abanico,01-2005,3.9715818953225437
abanico,02-2005,6.291297589285604
abanico,03-2005,5.211586854838647
abanico,04-2005,3.4555310833333124
abanico,05-2005,3.320004709677441
abanico,06-2005,5.3917673666666595
abanico,07-2005,4.428657663082419
abanico,08-2005,6.564162387096836
abanico,09-2005,5.936099933333298
abanico,10-2005,6.059038193548306
abanico,11-2005,6.803798199999975
abanico,12-2005,5.65740941129031
abanico,01-2006,5.6832609677420445
abanico,02-2006,3.7404754464284977
abanico,03-2006,4.104773790322646
abanico,04-2006,4.015021949999962
abanico,05-2006,3.163326935483873
abanico,06-2006,5.718114699999984
abanico,07-2006,4.609419354838728
abanico,08-2006,4.724660306451696
abanico,09-2006,5.514994350000015
abanico,10-2006,5.563300177419335
abanico,11-2006,5.937909050000066
abanico,12-2006,5.718248645161354
abanico,01-2007,5.786641766129119
abanico,02-2007,5.63642017241385
abanico,03-2007,4.670107580645124
abanico,04-2007,5.004639916666769
abanico,05-2007,3.7110089516128824
abanico,06-2007,4.01600909999998
abanico,07-2007,5.429130887096729
abanico,08-2007,4.160531177419298
abanico,09-2007,4.196323933333307
abanico,10-2007,5.526669612903185
abanico,11-2007,6.425187366666656
abanico,12-2007,5.990224919354869
abanico,01-2008,4.729833564516209
abanico,02-2008,3.9948578571428675
abanico,03-2008,3.371893306451547
abanico,04-2008,4.00482504999993
abanico,05-2008,1.7345586290322856
abanico,06-2008,1.098974800000029
abanico,07-2008,2.4087061129031397
abanico,08-2008,5.76006454838705
abanico,09-2008,5.110571800000006
abanico,10-2008,4.890217564516143
abanico,11-2008,6.354128850000033
abanico,12-2008,5.6839863870967555
abanico,01-2009,5.853743709677428
abanico,02-2009,3.9069870535714486
abanico,03-2009,5.451895564516093
abanico,04-2009,2.014086583333313
abanico,05-2009,4.001371935483835
abanico,06-2009,3.836927833333423
abanico,07-2009,5.654700376344117
abanico,08-2009,4.5046191687344965
abanico,09-2009,5.177183108974421
abanico,10-2009,5.420357822580602
abanico,11-2009,5.503275749999993
abanico,12-2009,6.902602258064594
abanico,01-2010,3.98065072580642
abanico,02-2010,3.1702116071428326
abanico,03-2010,2.5274745967741943
abanico,04-2010,5.281197416666692
abanico,05-2010,4.298479435483827
abanico,06-2010,3.5588881666666947
abanico,07-2010,3.7157077419354647
abanico,08-2010,2.444228790322601
abanico,09-2010,2.66413975000004
abanico,10-2010,4.525652258064532
abanico,11-2010,5.11950991666664
abanico,12-2010,4.69511717741939
abanico,01-2011,4.500654838709649
abanico,02-2011,3.1978803448275244
abanico,03-2011,2.706297096774218
abanico,04-2011,2.1962989166666667
abanico,05-2011,1.7499765322580778
abanico,06-2011,2.5524642500000887
abanico,07-2011,2.8308198387096652
abanico,08-2011,4.104833387096768
abanico,09-2011,3.9290147499999435
abanico,10-2011,4.812986370967739
abanico,11-2011,6.237025416666685
abanico,12-2011,5.764208064516065
abanico,01-2012,2.6647787903225613
abanico,02-2012,2.181729464285752
abanico,03-2012,1.96311798387093
abanico,04-2012,2.1782423333333765
abanico,05-2012,2.173333225806452
abanico,06-2012,4.685681000000012
abanico,07-2012,2.8648349193548586
abanico,08-2012,2.4358004032257408
abanico,09-2012,2.584372166666647
abanico,10-2012,2.251545887096743
abanico,11-2012,2.3644207715053334
abanico,12-2012,2.4614187096774707
abanico,01-2013,3.9819830483871326
abanico,02-2013,3.3435247321428503
abanico,03-2013,2.771767903225846
abanico,04-2013,2.8861518333333156
abanico,05-2013,3.7793056968580667
abanico,06-2013,3.86043306666664
abanico,07-2013,4.107261935483908
abanico,08-2013,3.310830141129017
abanico,09-2013,4.12038672499995
abanico,10-2013,5.525653145161289
abanico,11-2013,5.490828360215076
abanico,12-2013,5.257250693548394
abanico,01-2014,6.003444516129036
abanico,02-2014,4.955848214285744
abanico,03-2014,3.9952528225806327
abanico,04-2014,0.9544601666666387
abanico,05-2014,2.3375282258064516
abanico,06-2014,3.185185833333314
abanico,07-2014,3.845462903225797
abanico,08-2014,6.2194685806451595
abanico,09-2014,5.709657849999999
abanico,10-2014,7.413825354838721
abanico,11-2014,7.363534500000007
abanico,12-2014,6.725674129032271
abanico,01-2015,4.901949133064509
abanico,02-2015,3.670215583554345
abanico,03-2015,2.263650194035641
abanico,04-2015,1.7759989999999706
abanico,05-2015,2.177324919354856
abanico,06-2015,4.31854283333335
abanico,07-2015,4.763930271428531
abanico,08-2015,6.534009590570748
abanico,09-2015,6.6150438000000245
abanico,10-2015,5.985956510752651
abanico,11-2015,7.593642151066103
abanico,12-2015,6.328654732258052
abanico,01-2016,1.97148635887093
abanico,02-2016,0.8314487637363114
abanico,03-2016,0.10503397245208382
abanico,04-2016,1.69501201666667
abanico,05-2016,1.7453584516128977
abanico,06-2016,1.5762416500000036
abanico,07-2016,2.035292426267251
abanico,08-2016,3.716359703473948
abanico,09-2016,3.074333183333316
abanico,10-2016,3.334155559139834
abanico,11-2016,3.4642632343995463
abanico,12-2016,2.687217119354848
abanico,01-2017,3.8529078427419168
abanico,02-2017,2.584365178571431
abanico,03-2017,1.0684388104838654
abanico,04-2017,0.8181762916666635
abanico,05-2017,0.9616462701613173
abanico,06-2017,1.9485546249999257
abanico,07-2017,2.3541667137096454
abanico,08-2017,2.373401532258047
abanico,09-2017,2.5012173749999533
abanico,10-2017,5.179377137096743
abanico,11-2017,6.957560375
abanico,12-2017,6.478373104838722
abanico,01-2018,2.5957032419355492
abanico,02-2018,1.824755000000028
abanico,03-2018,0.5377070483871371
abanico,04-2018,0.2443740666666265
abanico,05-2018,0.7974520806451865
abanico,06-2018,1.5687641166666495
abanico,07-2018,1.6159272096774195
abanico,08-2018,0.7699469516128907
abanico,09-2018,1.8341762500000411
abanico,10-2018,3.6999830645161706
abanico,11-2018,4.507428458333319
abanico,12-2018,2.8443319193548255
abanico,01-2019,2.249472741935477
abanico,02-2019,1.0170261785713777
abanico,03-2019,0.09662340322576307
abanico,04-2019,0.09892395000000312
abanico,05-2019,0.05622320967740885
abanico,06-2019,0.6435586999999714
abanico,07-2019,1.0820934677419203
abanico,08-2019,1.613394838709624
abanico,09-2019,1.7204775833333414
abanico,10-2019,2.8484472580644606
abanico,11-2019,3.895926749999926
abanico,12-2019,3.1531552419354014
abanico,01-2020,0.1547102459677276
abanico,02-2020,0.07378571428572295
abanico,03-2020,0.0316774193548674
abanico,04-2020,0.044179673333395876
abanico,05-2020,0.1689900096774437
abanico,06-2020,0.031051320833316923
abanico,07-2020,1.455685116935559
abanico,08-2020,0.5865230241934967
abanico,09-2020,0.45798291666660884
abanico,10-2020,1.9989601814515898
abanico,11-2020,2.7316675208333123
abanico,12-2020,1.7875982661289953
abanico,01-2021,2.1517547580645022
abanico,02-2021,1.3057837901786158
abanico,03-2021,0.9028468306451282
abanico,04-2021,0.001
abanico,05-2021,0.001
abanico,06-2021,1.321651124999999
abanico,07-2021,1.023603334677418
abanico,08-2021,1.6989247056451515
abanico,09-2021,1.7873208583333167
abanico,10-2021,2.854299504032223
abanico,11-2021,3.0240115041666655
abanico,12-2021,3.0421230443548093
abanico,01-2022,5.676437568548355
abanico,02-2022,4.852378446428549
abanico,03-2022,3.84005379838705
abanico,04-2022,5.547233333333288
abanico,05-2022,5.810512903225804
abanico,06-2022,2.5484699791666365
abanico,07-2022,3.404101237903184
abanico,08-2022,3.8820121008065307
abanico,09-2022,4.233680720833281
abanico,10-2022,5.39098181451612
abanico,11-2022,6.606243441666663
abanico,12-2022,6.119905540322556
abanico,01-2023,3.752732227678572
abanico,02-2023,3.752060785714286
abanico,03-2023,2.2476785714285716
abanico,04-2023,0.38747477500000005
abanico,05-2023,1.7580279750000003
abanico,06-2023,16.401873600000002
abanico,07-2023,11.091348075
abanico,08-2023,15.083307450000003
abanico,09-2023,8.756928100000001
abanico,10-2023,5.8026344000000005
abanico,11-2023,8.212986
abanico,12-2023,5.238541025
antuco,01-1960,18.05735
antuco,02-1960,11.930420000000002
antuco,03-1960,11.434320000000001
antuco,04-1960,11.707199999999998
antuco,05-1960,14.192499999999999
antuco,06-1960,102.8375641424556
antuco,07-1960,90.64585594284458
antuco,08-1960,61.47023317904785
antuco,09-1960,104.97762865087807
antuco,10-1960,77.97898413907744
antuco,11-1960,83.62599999999999
antuco,12-1960,46.937663001125635
antuco,01-1961,8.706449999999998
antuco,02-1961,7.781899999999999
antuco,03-1961,5.70708
antuco,04-1961,17.586000000000002
antuco,05-1961,13.7969
antuco,06-1961,52.9122
antuco,07-1961,30.035260000000008
antuco,08-1961,37.41315
antuco,09-1961,36.85572
antuco,10-1961,32.741460000000004
antuco,11-1961,24.019740000000002
antuco,12-1961,13.2978
antuco,01-1962,10.95
antuco,02-1962,9.21
antuco,03-1962,7.770000000000001
antuco,04-1962,7.259999999999999
antuco,05-1962,6.51
antuco,06-1962,23.76
antuco,07-1962,23.14
antuco,08-1962,65.68048014359434
antuco,09-1962,45.91
antuco,10-1962,57.209999999999994
antuco,11-1962,40.82
antuco,12-1962,16.099999999999998
antuco,01-1963,42.68
antuco,02-1963,17.09
antuco,03-1963,11.260000000000002
antuco,04-1963,7.279999999999999
antuco,05-1963,12.09
antuco,06-1963,31.77
antuco,07-1963,67.61232737582256
antuco,08-1963,72.89400445119965
antuco,09-1963,79.84431313737252
antuco,10-1963,96.36570439005052
antuco,11-1963,107.52599223832235
antuco,12-1963,85.49999999999999
antuco,01-1964,24.91
antuco,02-1964,19.22
antuco,03-1964,11.66
antuco,04-1964,8.549999999999999
antuco,05-1964,9.81
antuco,06-1964,16.7
antuco,07-1964,26.32
antuco,08-1964,31.32
antuco,09-1964,60.18450696906147
antuco,10-1964,65.37
antuco,11-1964,53.38000000000001
antuco,12-1964,51.760000000000005
antuco,01-1965,36.07
antuco,02-1965,18.32
antuco,03-1965,12.689999999999998
antuco,04-1965,39.71999999999999
antuco,05-1965,74.85760116791312
antuco,06-1965,111.15629569429981
antuco,07-1965,93.89730840172152
antuco,08-1965,99.25394434782609
antuco,09-1965,48.83
antuco,10-1965,91.96960349085943
antuco,11-1965,108.84630684398866
antuco,12-1965,106.34966558530151
antuco,01-1966,67.29
antuco,02-1966,34.17
antuco,03-1966,17.97
antuco,04-1966,12.950000000000003
antuco,05-1966,29.57
antuco,06-1966,51.75000000000001
antuco,07-1966,116.54754997763023
antuco,08-1966,50.190000000000005
antuco,09-1966,64.96
antuco,10-1966,83.17887304663557
antuco,11-1966,95.69999999999999
antuco,12-1966,136.6170066581669
antuco,01-1967,20.180000000000003
antuco,02-1967,14.11
antuco,03-1967,11.93
antuco,04-1967,12.02
antuco,05-1967,34.49663295862534
antuco,06-1967,27.96
antuco,07-1967,24.9
antuco,08-1967,56.83454856361149
antuco,09-1967,54.480000000000004
antuco,10-1967,103.09701362838557
antuco,11-1967,91.63
antuco,12-1967,49.85000000000001
antuco,01-1968,20.83
